Date,Close
4/12/2019,84.15
4/15/2019,84.26
4/16/2019,83.05
4/17/2019,83.2
4/18/2019,83.01
4/22/2019,82.93
4/23/2019,83.57
4/24/2019,84.02
4/25/2019,84.83
4/26/2019,84.71
4/29/2019,84.04
4/30/2019,85.55
5/1/2019,84.95
5/2/2019,84.7
5/3/2019,85.43
5/6/2019,84.83
5/7/2019,84.63
5/8/2019,83.73
5/9/2019,82.87
5/10/2019,84.66
5/13/2019,86.34
5/14/2019,85.56
5/15/2019,85.05
5/16/2019,85.4
5/17/2019,85.85
5/20/2019,86.6
5/21/2019,86.61
5/22/2019,87.29
5/23/2019,88.18
5/24/2019,88.29
5/28/2019,86.67
5/29/2019,85.69
5/30/2019,85.3
5/31/2019,86.12
6/3/2019,87.37
6/4/2019,87.05
6/5/2019,89.37
6/6/2019,90
6/7/2019,89.54
6/10/2019,89.02
6/11/2019,88.32
6/12/2019,89.39
6/13/2019,89.59
6/14/2019,90.58
6/17/2019,90.08
6/18/2019,89.78
6/19/2019,90.86
6/20/2019,90.87
6/21/2019,91.55
6/24/2019,90.9
6/25/2019,90.37
6/26/2019,88.5
6/27/2019,87.9
6/28/2019,88.01
7/1/2019,88.13
7/2/2019,89.19
7/3/2019,90.14
7/5/2019,89.84
7/8/2019,89.93
7/9/2019,90.36
7/10/2019,90.81
7/11/2019,90.93
7/12/2019,90.25
7/15/2019,91.19
7/16/2019,90.51
7/17/2019,91.02
7/18/2019,91.76
7/19/2019,90.28
7/22/2019,90.12
7/23/2019,89.51
7/24/2019,89.61
7/25/2019,89.08
7/26/2019,88.95
7/29/2019,89.74
7/30/2019,88.72
7/31/2019,87.81
8/1/2019,88.81
8/2/2019,88.7
8/5/2019,88.02
8/6/2019,89.14
8/7/2019,89.74
8/8/2019,89.51
8/9/2019,89.97
8/12/2019,90.43
8/13/2019,90.25
8/14/2019,88.48
8/15/2019,90.36
8/16/2019,90.23
8/19/2019,90.55
8/20/2019,90.77
8/21/2019,91.35
8/22/2019,90.97
8/23/2019,89.58
8/26/2019,90.83
8/27/2019,90.67
8/28/2019,89.63
8/29/2019,90.72
8/30/2019,91.15
9/3/2019,92.78
9/4/2019,93.05
9/5/2019,91.53
9/6/2019,91.09
9/9/2019,91.38
9/10/2019,91.09
9/11/2019,91.69
9/12/2019,92.02
9/13/2019,91.54
9/16/2019,91.71
9/17/2019,92.73
9/18/2019,93.02
9/19/2019,93.18
9/20/2019,93.18
9/23/2019,93.4
9/24/2019,94.59
9/25/2019,94.23
9/26/2019,94.29
9/27/2019,94.2
9/30/2019,93.69
10/1/2019,93.22
10/2/2019,92.13
10/3/2019,92.5
10/4/2019,93.61
10/7/2019,93.71
10/8/2019,92.56
10/9/2019,92.88
10/10/2019,92.61
10/11/2019,92.34
10/14/2019,92.03
10/15/2019,91.74
10/16/2019,92.6
10/17/2019,93
10/18/2019,94.14
10/21/2019,94.48
10/22/2019,94.15
10/23/2019,94.44
10/24/2019,95.72
10/25/2019,94.35
10/28/2019,93.37
10/29/2019,93.17
10/30/2019,94.1
10/31/2019,94.39
11/1/2019,93.56
11/4/2019,92.8
11/5/2019,91.4
11/6/2019,91.98
11/7/2019,89.34
11/8/2019,89.07
11/11/2019,88.77
11/12/2019,88.5
11/13/2019,89.86
11/14/2019,89.6
11/15/2019,89.56
11/18/2019,90.15
11/19/2019,90.67
11/20/2019,91.46
11/21/2019,91.07
11/22/2019,91.54
11/25/2019,90.89
11/26/2019,91.5
11/27/2019,91.59
11/29/2019,91.35
12/2/2019,90.28
12/3/2019,90.88
12/4/2019,92.03
12/5/2019,92.46
12/6/2019,92.39
12/9/2019,91.86
12/10/2019,91.94
12/11/2019,92.15
12/12/2019,91.14
12/13/2019,92.05
12/16/2019,93.03
12/17/2019,93.22
12/18/2019,93.75
12/19/2019,93.97
12/20/2019,94.9
12/23/2019,93.75
12/24/2019,93.84
12/26/2019,93.88
12/27/2019,94.19
12/30/2019,94.03
12/31/2019,94.51
1/2/2020,93.46
1/3/2020,93.36
1/6/2020,93.67
1/7/2020,93.69
1/8/2020,93.41
1/9/2020,93.88
1/10/2020,94.34
1/13/2020,94.63
1/14/2020,94.98
1/15/2020,96.6
1/16/2020,97.31
1/17/2020,98.56
1/21/2020,99.34
1/22/2020,100
1/23/2020,100.97
1/24/2020,102.16
1/27/2020,101.78
1/28/2020,102.19
1/29/2020,102.81
1/30/2020,104.1
1/31/2020,104.22
2/3/2020,104.22
2/4/2020,102.87
2/5/2020,102.12
2/6/2020,102.25
2/7/2020,101.34
2/10/2020,101.92
2/11/2020,102.22
2/12/2020,101.79
2/13/2020,102.85
2/14/2020,103.76
2/18/2020,104.33
2/19/2020,103.5
2/20/2020,102.38
2/21/2020,101.71
2/24/2020,100.04
2/25/2020,98.17
2/26/2020,97.43
2/27/2020,91.86
2/28/2020,89.26
3/2/2020,95.09
3/3/2020,95.45
3/4/2020,99.82
3/5/2020,98.79
3/6/2020,97.7
3/9/2020,94.96
3/10/2020,94.72
3/11/2020,89.72
3/12/2020,82.54
3/13/2020,86.47
3/16/2020,81.66
3/17/2020,91.2
3/18/2020,88.28
3/19/2020,80.81
3/20/2020,71.45
3/23/2020,70
3/24/2020,72.05
3/25/2020,73.29
3/26/2020,81.8
3/27/2020,83.4
3/30/2020,83.71
3/31/2020,79.98
4/1/2020,74.57
4/2/2020,76.79
4/3/2020,72.5
4/6/2020,78.59
4/7/2020,78.75
4/8/2020,83.3
4/9/2020,86.31
