Date,Close
4/12/2019,49
4/15/2019,49.36
4/16/2019,48.16
4/17/2019,47.19
4/18/2019,48.16
4/22/2019,47.75
4/23/2019,49.43
4/24/2019,50.26
4/25/2019,50.59
4/26/2019,51.41
4/29/2019,51.77
4/30/2019,52.06
5/1/2019,51.51
5/2/2019,51.45
5/3/2019,52.5
5/6/2019,52.37
5/7/2019,51.29
5/8/2019,51.84
5/9/2019,51.69
5/10/2019,52.11
5/13/2019,50.68
5/14/2019,50.69
5/15/2019,50.84
5/16/2019,50.62
5/17/2019,50.27
5/20/2019,51.07
5/21/2019,51.78
5/22/2019,50.84
5/23/2019,49.61
5/24/2019,50
5/28/2019,49.62
5/29/2019,48.55
5/30/2019,49.08
5/31/2019,48.44
6/3/2019,48.54
6/4/2019,51.08
6/5/2019,51.4
6/6/2019,50.97
6/7/2019,51.49
6/10/2019,52.25
6/11/2019,51.23
6/12/2019,51.67
6/13/2019,52.17
6/14/2019,51.58
6/17/2019,52.27
6/18/2019,53.11
6/19/2019,53.52
6/20/2019,53.3
6/21/2019,52.69
6/24/2019,52.93
6/25/2019,52.88
6/26/2019,52.84
6/27/2019,53.63
6/28/2019,54.25
7/1/2019,54.15
7/2/2019,54.4
7/3/2019,54.19
7/5/2019,54.44
7/8/2019,54.71
7/9/2019,53.52
7/10/2019,54.11
7/11/2019,54.02
7/12/2019,54.92
7/15/2019,54.92
7/16/2019,54.74
7/17/2019,55.17
7/18/2019,55.15
7/19/2019,54.46
7/22/2019,54.15
7/23/2019,54.4
7/24/2019,55.59
7/25/2019,55.6
7/26/2019,55.82
7/29/2019,54.85
7/30/2019,54.42
7/31/2019,53.38
8/1/2019,52.07
8/2/2019,51.75
8/5/2019,49.92
8/6/2019,50.5
8/7/2019,53.76
8/8/2019,56.67
8/9/2019,55.6
8/12/2019,55.26
8/13/2019,55.78
8/14/2019,53.71
8/15/2019,55
8/16/2019,56.09
8/19/2019,56.52
8/20/2019,55.9
8/21/2019,56.33
8/22/2019,56.27
8/23/2019,55.73
8/26/2019,56.62
8/27/2019,55.66
8/28/2019,56.03
8/29/2019,57.17
8/30/2019,58.4
9/3/2019,57.12
9/4/2019,56.75
9/5/2019,57.67
9/6/2019,57.67
9/9/2019,58.09
9/10/2019,57.17
9/11/2019,57.21
9/12/2019,55.9
9/13/2019,55.67
9/16/2019,54.62
9/17/2019,55.13
9/18/2019,55.37
9/19/2019,56.34
9/20/2019,56.37
9/23/2019,55.59
9/24/2019,55.86
9/25/2019,56.25
9/26/2019,56.94
9/27/2019,56.84
9/30/2019,57.56
10/1/2019,55.83
10/2/2019,54.64
10/3/2019,54.49
10/4/2019,55.06
10/7/2019,55.34
10/8/2019,54.05
10/9/2019,54.44
10/10/2019,54.42
10/11/2019,56.02
10/14/2019,56.41
10/15/2019,57.63
10/16/2019,58.95
10/17/2019,59.76
10/18/2019,59.04
10/21/2019,58.16
10/22/2019,58.23
10/23/2019,57.94
10/24/2019,57.9
10/25/2019,57.94
10/28/2019,58.23
10/29/2019,59.53
10/30/2019,58.98
10/31/2019,58.76
11/1/2019,58.69
11/4/2019,59.97
11/5/2019,60.2
11/6/2019,60.56
11/7/2019,60.42
11/8/2019,60.53
11/11/2019,59.9
11/12/2019,60.44
11/13/2019,59.77
11/14/2019,59.47
11/15/2019,59.67
11/18/2019,59.97
11/19/2019,60.53
11/20/2019,59.33
11/21/2019,59.46
11/22/2019,59.63
11/25/2019,60.45
11/26/2019,60.08
11/27/2019,60.33
11/29/2019,59.47
12/2/2019,59.42
12/3/2019,59.52
12/4/2019,60.16
12/5/2019,60.46
12/6/2019,61.1
12/9/2019,60.33
12/10/2019,60.54
12/11/2019,60.12
12/12/2019,59.95
12/13/2019,59.64
12/16/2019,59.48
12/17/2019,60.15
12/18/2019,60.65
12/19/2019,60.78
12/20/2019,61.4
12/23/2019,61.49
12/24/2019,61.29
12/26/2019,61.57
12/27/2019,61.65
12/30/2019,61.89
12/31/2019,62.31
1/2/2020,62.11
1/3/2020,62.42
1/6/2020,62.11
1/7/2020,62.05
1/8/2020,63.49
1/9/2020,63.07
1/10/2020,62.65
1/13/2020,63.03
1/14/2020,63.47
1/15/2020,64.6
1/16/2020,66.35
1/17/2020,66.85
1/21/2020,67
1/22/2020,66.85
1/23/2020,67.29
1/24/2020,66.93
1/27/2020,67
1/28/2020,67.54
1/29/2020,67.46
1/30/2020,67.53
1/31/2020,67.38
2/3/2020,67.99
2/4/2020,69.55
2/5/2020,70.1
2/6/2020,70.35
2/7/2020,69.75
2/10/2020,70.3
2/11/2020,71.6
2/12/2020,71.63
2/13/2020,71.98
2/14/2020,78.54
2/18/2020,75.67
2/19/2020,75.74
2/20/2020,74.33
2/21/2020,74.15
2/24/2020,73.64
2/25/2020,71.77
2/26/2020,72.41
2/27/2020,74.01
2/28/2020,73.6
3/2/2020,74.48
3/3/2020,72.61
3/4/2020,76.85
3/5/2020,75.56
3/6/2020,76.82
3/9/2020,72.02
3/10/2020,69.13
3/11/2020,68.34
3/12/2020,65.58
3/13/2020,74.48
3/16/2020,70.4
3/17/2020,80.28
3/18/2020,81.99
3/19/2020,68.13
3/20/2020,62.75
3/23/2020,69.09
3/24/2020,67.88
3/25/2020,60.16
3/26/2020,53.73
3/27/2020,48.28
3/30/2020,52.34
3/31/2020,57.81
4/1/2020,58.19
4/2/2020,61.06
4/3/2020,58.01
4/6/2020,60.13
4/7/2020,58.38
4/8/2020,59.73
4/9/2020,62.22
