Date,Close
4/12/2019,128.87
4/15/2019,127.4
4/16/2019,124.61
4/17/2019,124.17
4/18/2019,122.62
4/22/2019,122.58
4/23/2019,123.43
4/24/2019,123.12
4/25/2019,122.66
4/26/2019,124.01
4/29/2019,123.6
4/30/2019,125.78
5/1/2019,124.45
5/2/2019,124.03
5/3/2019,124.79
5/6/2019,124.77
5/7/2019,123.23
5/8/2019,123.71
5/9/2019,124.03
5/10/2019,125.68
5/13/2019,126.3
5/14/2019,126.89
5/15/2019,127.24
5/16/2019,127.53
5/17/2019,127.25
5/20/2019,123.49
5/21/2019,125.05
5/22/2019,126.63
5/23/2019,127.69
5/24/2019,127.83
5/28/2019,126.12
5/29/2019,125.51
5/30/2019,127.69
5/31/2019,130.01
6/3/2019,131.83
6/4/2019,131.86
6/5/2019,134.57
6/6/2019,135.05
6/7/2019,135.22
6/10/2019,134.71
6/11/2019,135.9
6/12/2019,135.09
6/13/2019,132.55
6/14/2019,133.31
6/17/2019,135.99
6/18/2019,136.04
6/19/2019,136.62
6/20/2019,136.92
6/21/2019,135.78
6/24/2019,135.15
6/25/2019,133.25
6/26/2019,130.46
6/27/2019,130.47
6/28/2019,130.35
7/1/2019,130.12
7/2/2019,133.25
7/3/2019,134.52
7/5/2019,134.23
7/8/2019,135.09
7/9/2019,135.32
7/10/2019,136.08
7/11/2019,134.21
7/12/2019,132.52
7/15/2019,133.19
7/16/2019,132.72
7/17/2019,131.62
7/18/2019,126.87
7/19/2019,125.48
7/22/2019,126.42
7/23/2019,127.7
7/24/2019,129.21
7/25/2019,129.47
7/26/2019,130.58
7/29/2019,130.16
7/30/2019,132.68
7/31/2019,133.26
8/1/2019,133.84
8/2/2019,135.23
8/5/2019,133.13
8/6/2019,136.3
8/7/2019,138.25
8/8/2019,140.94
8/9/2019,141.24
8/12/2019,141.5
8/13/2019,141.95
8/14/2019,138.94
8/15/2019,142.41
8/16/2019,142.92
8/19/2019,144.86
8/20/2019,144.51
8/21/2019,145.17
8/22/2019,146.11
8/23/2019,146.34
8/26/2019,147.59
8/27/2019,146.07
8/28/2019,146.45
8/29/2019,145.95
8/30/2019,145.17
9/3/2019,147.58
9/4/2019,149.07
9/5/2019,147.07
9/6/2019,146.44
9/9/2019,143.48
9/10/2019,139.32
9/11/2019,138.66
9/12/2019,138.81
9/13/2019,136.44
9/16/2019,137.96
9/17/2019,142.48
9/18/2019,140.55
9/19/2019,141.24
9/20/2019,140.58
9/23/2019,141.44
9/24/2019,142.35
9/25/2019,140.09
9/26/2019,142
9/27/2019,137.87
9/30/2019,139.01
10/1/2019,136.79
10/2/2019,136.5
10/3/2019,137.34
10/4/2019,137.92
10/7/2019,137.44
10/8/2019,137.08
10/9/2019,137.25
10/10/2019,138.22
10/11/2019,136.68
10/14/2019,136.13
10/15/2019,134.65
10/16/2019,134.69
10/17/2019,139.58
10/18/2019,144.06
10/21/2019,143.35
10/22/2019,141.3
10/23/2019,140.9
10/24/2019,141.71
10/25/2019,141
10/28/2019,139.4
10/29/2019,139.02
10/30/2019,139.25
10/31/2019,138.79
11/1/2019,137.42
11/4/2019,134.5
11/5/2019,131.66
11/6/2019,133.91
11/7/2019,131.91
11/8/2019,130.81
11/11/2019,131.11
11/12/2019,130.66
11/13/2019,131.37
11/14/2019,133.67
11/15/2019,134.68
11/18/2019,135.94
11/19/2019,134.32
11/20/2019,136.89
11/21/2019,135.45
11/22/2019,132.32
11/25/2019,131.39
11/26/2019,134.41
11/27/2019,133.78
11/29/2019,133.66
12/2/2019,130.95
12/3/2019,134.15
12/4/2019,134.53
12/5/2019,135
12/6/2019,135.46
12/9/2019,135.88
12/10/2019,134
12/11/2019,134.61
12/12/2019,132
12/13/2019,132.68
12/16/2019,134.5
12/17/2019,133.15
12/18/2019,137.2
12/19/2019,139.92
12/20/2019,142
12/23/2019,140.58
12/24/2019,140.04
12/26/2019,140.6
12/27/2019,141.08
12/30/2019,141.4
12/31/2019,142.15
1/2/2020,141.68
1/3/2020,142.46
1/6/2020,141.26
1/7/2020,138.87
1/8/2020,139.45
1/9/2020,140.25
1/10/2020,142.4
1/13/2020,143.29
1/14/2020,141.95
1/15/2020,144.05
1/16/2020,145.23
1/17/2020,145.25
1/21/2020,148.21
1/22/2020,148.69
1/23/2020,149.78
1/24/2020,149.9
1/27/2020,150.3
1/28/2020,151.73
1/29/2020,149.05
1/30/2020,151.13
1/31/2020,149.84
2/3/2020,149.19
2/4/2020,150.45
2/5/2020,149.96
2/6/2020,150.5
2/7/2020,150.49
2/10/2020,152.92
2/11/2020,161.03
2/12/2020,163.21
2/13/2020,163.92
2/14/2020,165.97
2/18/2020,166.21
2/19/2020,165.6
2/20/2020,166.99
2/21/2020,168.06
2/24/2020,166.36
2/25/2020,163.02
2/26/2020,162.69
2/27/2020,148.4
2/28/2020,143.29
3/2/2020,156.24
3/3/2020,158.13
3/4/2020,163.56
3/5/2020,162.24
3/6/2020,160.82
3/9/2020,150.28
3/10/2020,159.35
3/11/2020,153.85
3/12/2020,142.51
3/13/2020,155.09
3/16/2020,135.82
3/17/2020,146.87
3/18/2020,138.31
3/19/2020,130.75
3/20/2020,128.06
3/23/2020,116.98
3/24/2020,123.71
3/25/2020,127.96
3/26/2020,142.47
3/27/2020,136.89
3/30/2020,148.06
3/31/2020,144.4
4/1/2020,137.59
4/2/2020,146.37
4/3/2020,145.62
4/6/2020,148.75
4/7/2020,146.54
4/8/2020,157.36
4/9/2020,164.14
