Date,Close
4/12/2019,29.36
4/15/2019,28.89
4/16/2019,29.33
4/17/2019,28.59
4/18/2019,29.16
4/22/2019,29.04
4/23/2019,29.57
4/24/2019,29.81
4/25/2019,29.49
4/26/2019,29.94
4/29/2019,29.78
4/30/2019,28.26
5/1/2019,27.48
5/2/2019,27.39
5/3/2019,28.73
5/6/2019,28.98
5/7/2019,27.9
5/8/2019,28.02
5/9/2019,32.72
5/10/2019,36.68
5/13/2019,35.5
5/14/2019,35.79
5/15/2019,35.07
5/16/2019,35.21
5/17/2019,34.53
5/20/2019,34.39
5/21/2019,35.17
5/22/2019,35.91
5/23/2019,35.79
5/24/2019,36.13
5/28/2019,35.6
5/29/2019,35.54
5/30/2019,35.4
5/31/2019,34.34
6/3/2019,35.19
6/4/2019,36.31
6/5/2019,36.25
6/6/2019,36.14
6/7/2019,35.87
6/10/2019,35.98
6/11/2019,35.45
6/12/2019,35.88
6/13/2019,36.34
6/14/2019,35.64
6/17/2019,35.55
6/18/2019,35.51
6/19/2019,34.81
6/20/2019,34.8
6/21/2019,34.58
6/24/2019,33.53
6/25/2019,33.17
6/26/2019,34.32
6/27/2019,34.05
6/28/2019,33.87
7/1/2019,33.97
7/2/2019,34.22
7/3/2019,34.68
7/5/2019,34.53
7/8/2019,34.39
7/9/2019,34.33
7/10/2019,34.51
7/11/2019,34.55
7/12/2019,34.75
7/15/2019,33.48
7/16/2019,33.98
7/17/2019,33.85
7/18/2019,34.3
7/19/2019,33.74
7/22/2019,34.19
7/23/2019,34.91
7/24/2019,35.73
7/25/2019,35.15
7/26/2019,35.29
7/29/2019,35.19
7/30/2019,36.19
7/31/2019,35.98
8/1/2019,35.21
8/2/2019,34.91
8/5/2019,34.4
8/6/2019,34.9
8/7/2019,34.04
8/8/2019,37.61
8/9/2019,39.16
8/12/2019,36.74
8/13/2019,37.52
8/14/2019,36.46
8/15/2019,35.78
8/16/2019,36.95
8/19/2019,37.37
8/20/2019,36.52
8/21/2019,36.3
8/22/2019,36.71
8/23/2019,35.51
8/26/2019,35.68
8/27/2019,34.89
8/28/2019,36.64
8/29/2019,37
8/30/2019,36.9
9/3/2019,35.99
9/4/2019,32
9/5/2019,34.1
9/6/2019,34.17
9/9/2019,35.07
9/10/2019,35.88
9/11/2019,36.68
9/12/2019,34.97
9/13/2019,34.42
9/16/2019,34.98
9/17/2019,34.02
9/18/2019,34.69
9/19/2019,33.78
9/20/2019,34.09
9/23/2019,34.08
9/24/2019,34.49
9/25/2019,34.86
9/26/2019,33.91
9/27/2019,32.78
9/30/2019,33.33
10/1/2019,32.24
10/2/2019,31.59
10/3/2019,32.13
10/4/2019,32.78
10/7/2019,31.45
10/8/2019,30.37
10/9/2019,30.46
10/10/2019,30.95
10/11/2019,32.25
10/14/2019,32.43
10/15/2019,33.3
10/16/2019,33.84
10/17/2019,34.04
10/18/2019,34.12
10/21/2019,34.66
10/22/2019,34.08
10/23/2019,33.85
10/24/2019,33.6
10/25/2019,33.89
10/28/2019,34.4
10/29/2019,34.71
10/30/2019,33.79
10/31/2019,33.19
11/1/2019,34.01
11/4/2019,34.02
11/5/2019,33.54
11/6/2019,33.74
11/7/2019,36.11
11/8/2019,36.64
11/11/2019,36.04
11/12/2019,36.21
11/13/2019,36.48
11/14/2019,36.59
11/15/2019,36.47
11/18/2019,36.58
11/19/2019,36.37
11/20/2019,35.63
11/21/2019,35.56
11/22/2019,35.68
11/25/2019,36.51
11/26/2019,36.1
11/27/2019,36.19
11/29/2019,36.47
12/2/2019,36.19
12/3/2019,35.17
12/4/2019,36.1
12/5/2019,36.32
12/6/2019,36.88
12/9/2019,36.34
12/10/2019,36.66
12/11/2019,37.05
12/12/2019,36.92
12/13/2019,36.31
12/16/2019,36.73
12/17/2019,37.31
12/18/2019,36.99
12/19/2019,37.32
12/20/2019,36.75
12/23/2019,36.28
12/24/2019,36.66
12/26/2019,36.49
12/27/2019,35.96
12/30/2019,35.37
12/31/2019,35.36
1/2/2020,35.94
1/3/2020,35.46
1/6/2020,35.3
1/7/2020,34.97
1/8/2020,35.34
1/9/2020,35.66
1/10/2020,35.41
1/13/2020,35.74
1/14/2020,36.14
1/15/2020,36.28
1/16/2020,36.96
1/17/2020,36.92
1/21/2020,36.59
1/22/2020,36.66
1/23/2020,36.91
1/24/2020,35.97
1/27/2020,35.45
1/28/2020,35.76
1/29/2020,35.04
1/30/2020,35
1/31/2020,33.95
2/3/2020,34.13
2/4/2020,35.14
2/5/2020,36.17
2/6/2020,35.99
2/7/2020,35.73
2/10/2020,35.64
2/11/2020,36.3
2/12/2020,36.55
2/13/2020,36.88
2/14/2020,35.82
2/18/2020,35
2/19/2020,34.53
2/20/2020,34.98
2/21/2020,34.3
2/24/2020,33.04
2/25/2020,31.25
2/26/2020,30.91
2/27/2020,34.61
2/28/2020,37.16
3/2/2020,38.61
3/3/2020,38.18
3/4/2020,40.05
3/5/2020,39.34
3/6/2020,38.64
3/9/2020,38.29
3/10/2020,37.34
3/11/2020,35.3
3/12/2020,33.29
3/13/2020,35.45
3/16/2020,34.5
3/17/2020,30.55
3/18/2020,18.72
3/19/2020,16.95
3/20/2020,20.06
3/23/2020,16.84
3/24/2020,23.15
3/25/2020,27.84
3/26/2020,29.65
3/27/2020,27.59
3/30/2020,26.94
3/31/2020,23.38
4/1/2020,21.28
4/2/2020,19.12
4/3/2020,16.94
4/6/2020,20.55
4/7/2020,23.62
4/8/2020,25.83
4/9/2020,28.68
