Date,Close
4/12/2019,41.15
4/15/2019,41.1
4/16/2019,40.78
4/17/2019,40.72
4/18/2019,40.39
4/22/2019,40.43
4/23/2019,39.24
4/24/2019,39.81
4/25/2019,39.66
4/26/2019,39.94
4/29/2019,39.49
4/30/2019,39.94
5/1/2019,39.05
5/2/2019,39.7
5/3/2019,39.68
5/6/2019,39.4
5/7/2019,38.8
5/8/2019,39.33
5/9/2019,39.51
5/10/2019,39.86
5/13/2019,39.58
5/14/2019,39.41
5/15/2019,39.56
5/16/2019,39.82
5/17/2019,39.79
5/20/2019,39.72
5/21/2019,39.82
5/22/2019,39.49
5/23/2019,39.13
5/24/2019,40.27
5/28/2019,38.86
5/29/2019,39.22
5/30/2019,39.62
5/31/2019,39.49
6/3/2019,40.42
6/4/2019,40.35
6/5/2019,41.42
6/6/2019,41.49
6/7/2019,42.05
6/10/2019,41.47
6/11/2019,41.84
6/12/2019,41.55
6/13/2019,41.75
6/14/2019,41.43
6/17/2019,40.96
6/18/2019,40.87
6/19/2019,41.18
6/20/2019,41.56
6/21/2019,41.41
6/24/2019,42.14
6/25/2019,40.5
6/26/2019,40.13
6/27/2019,40.27
6/28/2019,40.54
7/1/2019,40.91
7/2/2019,41.2
7/3/2019,41.77
7/5/2019,41.5
7/8/2019,41.37
7/9/2019,41.18
7/10/2019,41.3
7/11/2019,41.22
7/12/2019,41.01
7/15/2019,41.24
7/16/2019,41.23
7/17/2019,41.2
7/18/2019,41.79
7/19/2019,41.26
7/22/2019,41.36
7/23/2019,41.15
7/24/2019,40.41
7/25/2019,40.83
7/26/2019,41.38
7/29/2019,41.44
7/30/2019,41.63
7/31/2019,40.99
8/1/2019,41.23
8/2/2019,41.36
8/5/2019,40.73
8/6/2019,40.52
8/7/2019,40.89
8/8/2019,41.78
8/9/2019,41.71
8/12/2019,41.83
8/13/2019,41.79
8/14/2019,40.69
8/15/2019,41.39
8/16/2019,41.45
8/19/2019,41.21
8/20/2019,40.9
8/21/2019,40.97
8/22/2019,42.95
8/23/2019,42
8/26/2019,42.63
8/27/2019,42.41
8/28/2019,42.3
8/29/2019,42.45
8/30/2019,42.61
9/3/2019,42.84
9/4/2019,42.53
9/5/2019,42.55
9/6/2019,42.6
9/9/2019,42.91
9/10/2019,43.67
9/11/2019,44.54
9/12/2019,44
9/13/2019,42.98
9/16/2019,42.83
9/17/2019,43.17
9/18/2019,42.96
9/19/2019,42.96
9/20/2019,42.94
9/23/2019,42.6
9/24/2019,42.96
9/25/2019,43.3
9/26/2019,43.54
9/27/2019,43.54
9/30/2019,43.73
10/1/2019,43.62
10/2/2019,42.74
10/3/2019,43.05
10/4/2019,43.74
10/7/2019,43.7
10/8/2019,43.08
10/9/2019,42.84
10/10/2019,41.67
10/11/2019,41.16
10/14/2019,40.97
10/15/2019,41.01
10/16/2019,40.56
10/17/2019,40.86
10/18/2019,40.81
10/21/2019,40.64
10/22/2019,40.53
10/23/2019,40.78
10/24/2019,40.87
10/25/2019,40.57
10/28/2019,40.49
10/29/2019,40.84
10/30/2019,40.89
10/31/2019,40.89
11/1/2019,41.26
11/4/2019,41.68
11/5/2019,41.62
11/6/2019,41.6
11/7/2019,41.63
11/8/2019,41.97
11/11/2019,41.62
11/12/2019,41.78
11/13/2019,42.15
11/14/2019,42.23
11/15/2019,42.38
11/18/2019,42.71
11/19/2019,42.74
11/20/2019,42.85
11/21/2019,42.72
11/22/2019,42.31
11/25/2019,42.76
11/26/2019,44.28
11/27/2019,44.88
11/29/2019,44.53
12/2/2019,45.43
12/3/2019,45.54
12/4/2019,45.25
12/5/2019,45.76
12/6/2019,45.34
12/9/2019,45.36
12/10/2019,45.6
12/11/2019,45.56
12/12/2019,45.35
12/13/2019,44.9
12/16/2019,44.87
12/17/2019,44.5
12/18/2019,44.42
12/19/2019,44.7
12/20/2019,44.96
12/23/2019,45.4
12/24/2019,45.35
12/26/2019,45.3
12/27/2019,45.26
12/30/2019,45
12/31/2019,45.11
1/2/2020,44.31
1/3/2020,44.25
1/6/2020,44.27
1/7/2020,44.54
1/8/2020,44.59
1/9/2020,44.49
1/10/2020,44.9
1/13/2020,45.9
1/14/2020,45.45
1/15/2020,45.3
1/16/2020,46.02
1/17/2020,46.3
1/21/2020,46.95
1/22/2020,46.57
1/23/2020,46.99
1/24/2020,47.23
1/27/2020,46.82
1/28/2020,47.05
1/29/2020,47.32
1/30/2020,47.88
1/31/2020,47.26
2/3/2020,47.43
2/4/2020,47.55
2/5/2020,47.39
2/6/2020,46.89
2/7/2020,47.09
2/10/2020,47.33
2/11/2020,47.48
2/12/2020,47.76
2/13/2020,48.45
2/14/2020,48.58
2/18/2020,48.26
2/19/2020,48.44
2/20/2020,45.53
2/21/2020,44.77
2/24/2020,44.57
2/25/2020,44.72
2/26/2020,43.94
2/27/2020,42.53
2/28/2020,41.6
3/2/2020,43.19
3/3/2020,42.99
3/4/2020,45.05
3/5/2020,43.8
3/6/2020,43.95
3/9/2020,43.41
3/10/2020,43.76
3/11/2020,42.27
3/12/2020,40.08
3/13/2020,42.4
3/16/2020,42.63
3/17/2020,48.53
3/18/2020,48.27
3/19/2020,47.22
3/20/2020,45.12
3/23/2020,42.31
3/24/2020,44.85
3/25/2020,41.94
3/26/2020,44.85
3/27/2020,44.96
3/30/2020,46.78
3/31/2020,46.64
4/1/2020,46.35
4/2/2020,47.58
4/3/2020,48.38
4/6/2020,48.55
4/7/2020,47.91
4/8/2020,47.37
4/9/2020,47.54
