Date,Close
4/12/2019,46.74
4/15/2019,47
4/16/2019,46.95
4/17/2019,47.28
4/18/2019,47.48
4/22/2019,47.4
4/23/2019,48.21
4/24/2019,47.98
4/25/2019,47.84
4/26/2019,48.26
4/29/2019,48.42
4/30/2019,49.06
5/1/2019,48.59
5/2/2019,48.39
5/3/2019,48.72
5/6/2019,48.47
5/7/2019,48
5/8/2019,47.85
5/9/2019,47.4
5/10/2019,48.19
5/13/2019,48.05
5/14/2019,48.69
5/15/2019,49.18
5/16/2019,49.58
5/17/2019,49.2
5/20/2019,48.85
5/21/2019,48.6
5/22/2019,49.65
5/23/2019,49.85
5/24/2019,49.61
5/28/2019,49.1
5/29/2019,48.61
5/30/2019,49.25
5/31/2019,49.13
6/3/2019,49.98
6/4/2019,50
6/5/2019,50.78
6/6/2019,51.4
6/7/2019,51.49
6/10/2019,51.38
6/11/2019,51.33
6/12/2019,51.64
6/13/2019,51.13
6/14/2019,51.31
6/17/2019,50.87
6/18/2019,50.64
6/19/2019,51.12
6/20/2019,51.66
6/21/2019,51.55
6/24/2019,51.92
6/25/2019,51.76
6/26/2019,51.12
6/27/2019,51.08
6/28/2019,50.92
7/1/2019,51.6
7/2/2019,51.98
7/3/2019,52.1
7/5/2019,52.11
7/8/2019,52
7/9/2019,51.59
7/10/2019,51.82
7/11/2019,52.04
7/12/2019,52.12
7/15/2019,52.13
7/16/2019,52.14
7/17/2019,52.18
7/18/2019,52.03
7/19/2019,51.39
7/22/2019,51.22
7/23/2019,54.33
7/24/2019,53.78
7/25/2019,53.07
7/26/2019,54.17
7/29/2019,53.99
7/30/2019,53.72
7/31/2019,52.63
8/1/2019,52.03
8/2/2019,52.33
8/5/2019,51.65
8/6/2019,52.27
8/7/2019,53.18
8/8/2019,53.69
8/9/2019,53.42
8/12/2019,53.2
8/13/2019,53.5
8/14/2019,52.99
8/15/2019,53.87
8/16/2019,54.41
8/19/2019,54.69
8/20/2019,53.88
8/21/2019,54.1
8/22/2019,54.49
8/23/2019,53.74
8/26/2019,54.54
8/27/2019,54.72
8/28/2019,55.11
8/29/2019,55.05
8/30/2019,55.04
9/3/2019,55.3
9/4/2019,55.77
9/5/2019,55.12
9/6/2019,55.23
9/9/2019,54.52
9/10/2019,54.4
9/11/2019,54.77
9/12/2019,55.11
9/13/2019,54.26
9/16/2019,53.96
9/17/2019,54.24
9/18/2019,54.23
9/19/2019,54.52
9/20/2019,53.91
9/23/2019,54.14
9/24/2019,54.3
9/25/2019,54.17
9/26/2019,54.39
9/27/2019,54.31
9/30/2019,54.44
10/1/2019,54.65
10/2/2019,53.08
10/3/2019,53.84
10/4/2019,54.54
10/7/2019,53.87
10/8/2019,53.58
10/9/2019,53.83
10/10/2019,53.66
10/11/2019,53.3
10/14/2019,53.3
10/15/2019,53.51
10/16/2019,53.49
10/17/2019,53.79
10/18/2019,54.78
10/21/2019,54.23
10/22/2019,53.85
10/23/2019,54.64
10/24/2019,54.61
10/25/2019,53.75
10/28/2019,53.57
10/29/2019,53.41
10/30/2019,53.94
10/31/2019,54.43
11/1/2019,53.9
11/4/2019,53.14
11/5/2019,52.42
11/6/2019,52.8
11/7/2019,52.29
11/8/2019,52.21
11/11/2019,51.84
11/12/2019,51.71
11/13/2019,52.41
11/14/2019,52.63
11/15/2019,52.67
11/18/2019,53.03
11/19/2019,53.08
11/20/2019,53.22
11/21/2019,52.96
11/22/2019,53.03
11/25/2019,53.22
11/26/2019,53.9
11/27/2019,53.95
11/29/2019,53.4
12/2/2019,53.75
12/3/2019,53.8
12/4/2019,54.29
12/5/2019,54.19
12/6/2019,54.42
12/9/2019,54.07
12/10/2019,53.77
12/11/2019,53.95
12/12/2019,54.14
12/13/2019,54.42
12/16/2019,54.42
12/17/2019,54.42
12/18/2019,53.91
12/19/2019,54.32
12/20/2019,54.97
12/23/2019,54.91
12/24/2019,54.71
12/26/2019,55.02
12/27/2019,55.35
12/30/2019,55.27
12/31/2019,55.35
1/2/2020,54.99
1/3/2020,54.69
1/6/2020,54.67
1/7/2020,54.25
1/8/2020,54.35
1/9/2020,55.34
1/10/2020,55.53
1/13/2020,56.13
1/14/2020,56
1/15/2020,56.7
1/16/2020,56.82
1/17/2020,56.94
1/21/2020,57.17
1/22/2020,57.61
1/23/2020,57.83
1/24/2020,57.68
1/27/2020,57.48
1/28/2020,57.01
1/29/2020,57.01
1/30/2020,58.86
1/31/2020,58.4
2/3/2020,58.58
2/4/2020,58.84
2/5/2020,58.85
2/6/2020,58.99
2/7/2020,59.19
2/10/2020,59.75
2/11/2020,59.59
2/12/2020,59.41
2/13/2020,59.61
2/14/2020,59.95
2/18/2020,59.53
2/19/2020,59.77
2/20/2020,59.72
2/21/2020,60.13
2/24/2020,58.65
2/25/2020,57.82
2/26/2020,57.6
2/27/2020,54.93
2/28/2020,53.49
3/2/2020,55.92
3/3/2020,56.06
3/4/2020,58.92
3/5/2020,56.74
3/6/2020,55.26
3/9/2020,51.86
3/10/2020,53.66
3/11/2020,52.21
3/12/2020,47.16
3/13/2020,48.47
3/16/2020,45.26
3/17/2020,47.18
3/18/2020,44.85
3/19/2020,41.83
3/20/2020,38.3
3/23/2020,37.56
3/24/2020,39.45
3/25/2020,41.61
3/26/2020,44.29
3/27/2020,42.81
3/30/2020,45
3/31/2020,44.25
4/1/2020,42.12
4/2/2020,43.95
4/3/2020,43.83
4/6/2020,46.67
4/7/2020,46.51
4/8/2020,47.82
4/9/2020,49
