Date,Close
4/12/2019,27.51
4/15/2019,26.89
4/16/2019,27.44
4/17/2019,26.92
4/18/2019,27.27
4/22/2019,27.35
4/23/2019,27.54
4/24/2019,27.52
4/25/2019,27.82
4/26/2019,28.73
4/29/2019,28.68
4/30/2019,28.12
5/1/2019,28.16
5/2/2019,27.79
5/3/2019,28.88
5/6/2019,28.83
5/7/2019,27.98
5/8/2019,27.79
5/9/2019,28.38
5/10/2019,29.36
5/13/2019,29.23
5/14/2019,29.28
5/15/2019,28.74
5/16/2019,28.44
5/17/2019,28.87
5/20/2019,29.33
5/21/2019,29.75
5/22/2019,29.49
5/23/2019,28.64
5/24/2019,29.13
5/28/2019,28.37
5/29/2019,28.08
5/30/2019,27.95
5/31/2019,27.61
6/3/2019,28.31
6/4/2019,29.22
6/5/2019,28.84
6/6/2019,28.97
6/7/2019,29.6
6/10/2019,29.51
6/11/2019,29.42
6/12/2019,29.51
6/13/2019,29.79
6/14/2019,29.83
6/17/2019,29.44
6/18/2019,29.42
6/19/2019,29.23
6/20/2019,29.02
6/21/2019,28.58
6/24/2019,27.46
6/25/2019,26.95
6/26/2019,26.84
6/27/2019,27.41
6/28/2019,28.14
7/1/2019,28.13
7/2/2019,27.92
7/3/2019,28.45
7/5/2019,28.77
7/8/2019,28.17
7/9/2019,28.27
7/10/2019,28.06
7/11/2019,28.04
7/12/2019,28.41
7/15/2019,27.97
7/16/2019,28
7/17/2019,27.88
7/18/2019,28.68
7/19/2019,28.53
7/22/2019,28.39
7/23/2019,29.18
7/24/2019,30.59
7/25/2019,29.97
7/26/2019,30.15
7/29/2019,30.23
7/30/2019,31.34
7/31/2019,31.13
8/1/2019,30.76
8/2/2019,29.75
8/5/2019,28.98
8/6/2019,29.3
8/7/2019,29.1
8/8/2019,30.23
8/9/2019,32.53
8/12/2019,32.29
8/13/2019,32.69
8/14/2019,32.46
8/15/2019,32.74
8/16/2019,33.61
8/19/2019,33.86
8/20/2019,33.95
8/21/2019,33.69
8/22/2019,33.61
8/23/2019,32.75
8/26/2019,33.02
8/27/2019,32.79
8/28/2019,33.45
8/29/2019,34.33
8/30/2019,34.14
9/3/2019,34.01
9/4/2019,33.12
9/5/2019,33.88
9/6/2019,33.87
9/9/2019,34.42
9/10/2019,34.47
9/11/2019,35.04
9/12/2019,34.18
9/13/2019,34.85
9/16/2019,35.15
9/17/2019,34.91
9/18/2019,35.17
9/19/2019,34.65
9/20/2019,35.22
9/23/2019,35.43
9/24/2019,35.23
9/25/2019,35.35
9/26/2019,34.23
9/27/2019,34.12
9/30/2019,33.79
10/1/2019,33.01
10/2/2019,32.36
10/3/2019,32.45
10/4/2019,32.94
10/7/2019,32.5
10/8/2019,32.85
10/9/2019,32.28
10/10/2019,32.53
10/11/2019,32.87
10/14/2019,32.83
10/15/2019,33.31
10/16/2019,33.58
10/17/2019,34.3
10/18/2019,34.23
10/21/2019,35.04
10/22/2019,34.58
10/23/2019,34.55
10/24/2019,34.44
10/25/2019,34.58
10/28/2019,34.99
10/29/2019,34.43
10/30/2019,34.36
10/31/2019,33.93
11/1/2019,34.35
11/4/2019,34.99
11/5/2019,34.6
11/6/2019,34.14
11/7/2019,35
11/8/2019,36.78
11/11/2019,36.43
11/12/2019,36.62
11/13/2019,36.6
11/14/2019,36.39
11/15/2019,36.43
11/18/2019,36.2
11/19/2019,36.4
11/20/2019,36.31
11/21/2019,36.27
11/22/2019,36.42
11/25/2019,37.15
11/26/2019,36.81
11/27/2019,36.7
11/29/2019,36.64
12/2/2019,36.27
12/3/2019,35.6
12/4/2019,35.74
12/5/2019,35.88
12/6/2019,36.29
12/9/2019,36.1
12/10/2019,36.63
12/11/2019,37.4
12/12/2019,37.36
12/13/2019,37.31
12/16/2019,37.24
12/17/2019,37.87
12/18/2019,37.67
12/19/2019,37.45
12/20/2019,37.28
12/23/2019,36.92
12/24/2019,36.87
12/26/2019,37.06
12/27/2019,36.54
12/30/2019,36.5
12/31/2019,36.3
1/2/2020,37.03
1/3/2020,36.92
1/6/2020,37
1/7/2020,36.64
1/8/2020,36.66
1/9/2020,36.84
1/10/2020,36.42
1/13/2020,36.52
1/14/2020,36.48
1/15/2020,36.53
1/16/2020,37.05
1/17/2020,36.87
1/21/2020,36.5
1/22/2020,36.7
1/23/2020,37.12
1/24/2020,36.19
1/27/2020,35.85
1/28/2020,35.89
1/29/2020,35.56
1/30/2020,35.63
1/31/2020,35.36
2/3/2020,35.74
2/4/2020,37.39
2/5/2020,38.18
2/6/2020,37.73
2/7/2020,36.9
2/10/2020,37.24
2/11/2020,37.98
2/12/2020,38.19
2/13/2020,38.59
2/14/2020,37.27
2/18/2020,37.04
2/19/2020,37.21
2/20/2020,37.01
2/21/2020,36.84
2/24/2020,36.23
2/25/2020,35.35
2/26/2020,35.11
2/27/2020,34.72
2/28/2020,38.82
3/2/2020,38.55
3/3/2020,38
3/4/2020,38.47
3/5/2020,38.67
3/6/2020,39.04
3/9/2020,35.87
3/10/2020,36.91
3/11/2020,34.54
3/12/2020,31.48
3/13/2020,32.58
3/16/2020,29.62
3/17/2020,30.26
3/18/2020,24.94
3/19/2020,25.01
3/20/2020,25.9
3/23/2020,23.57
3/24/2020,26.46
3/25/2020,27.6
3/26/2020,29.8
3/27/2020,27.99
3/30/2020,28.05
3/31/2020,27.72
4/1/2020,24.39
4/2/2020,22.75
4/3/2020,20.02
4/6/2020,23.02
4/7/2020,24.53
4/8/2020,26.48
4/9/2020,27.8
