Date,Close
4/12/2019,290.16
4/15/2019,289.97
4/16/2019,290.16
4/17/2019,289.45
4/18/2019,290.02
4/22/2019,290.27
4/23/2019,292.88
4/24/2019,292.23
4/25/2019,292.05
4/26/2019,293.41
4/29/2019,293.87
4/30/2019,294.02
5/1/2019,291.81
5/2/2019,291.18
5/3/2019,294.03
5/6/2019,292.82
5/7/2019,287.93
5/8/2019,287.53
5/9/2019,286.66
5/10/2019,288.1
5/13/2019,280.86
5/14/2019,283.4
5/15/2019,285.06
5/16/2019,287.7
5/17/2019,285.84
5/20/2019,283.95
5/21/2019,286.51
5/22/2019,285.63
5/23/2019,282.14
5/24/2019,282.78
5/28/2019,280.15
5/29/2019,278.27
5/30/2019,279.03
5/31/2019,275.27
6/3/2019,274.57
6/4/2019,280.53
6/5/2019,282.96
6/6/2019,284.8
6/7/2019,287.65
6/10/2019,288.97
6/11/2019,288.9
6/12/2019,288.39
6/13/2019,289.58
6/14/2019,289.26
6/17/2019,289.37
6/18/2019,292.4
6/19/2019,293.06
6/20/2019,295.86
6/21/2019,294
6/24/2019,293.64
6/25/2019,290.76
6/26/2019,290.47
6/27/2019,291.5
6/28/2019,293
7/1/2019,295.66
7/2/2019,296.43
7/3/2019,298.8
7/5/2019,298.46
7/8/2019,296.82
7/9/2019,297.19
7/10/2019,298.61
7/11/2019,299.31
7/12/2019,300.65
7/15/2019,300.75
7/16/2019,299.71
7/17/2019,297.74
7/18/2019,298.83
7/19/2019,297.17
7/22/2019,297.9
7/23/2019,300.03
7/24/2019,301.44
7/25/2019,300
7/26/2019,302.01
7/29/2019,301.46
7/30/2019,300.72
7/31/2019,297.43
8/1/2019,294.84
8/2/2019,292.62
8/5/2019,283.82
8/6/2019,287.8
8/7/2019,287.97
8/8/2019,293.62
8/9/2019,291.62
8/12/2019,288.07
8/13/2019,292.55
8/14/2019,283.9
8/15/2019,284.65
8/16/2019,288.85
8/19/2019,292.33
8/20/2019,290.09
8/21/2019,292.45
8/22/2019,292.36
8/23/2019,284.85
8/26/2019,288
8/27/2019,286.87
8/28/2019,288.89
8/29/2019,292.58
8/30/2019,292.45
9/3/2019,290.74
9/4/2019,294.04
9/5/2019,297.82
9/6/2019,298.05
9/9/2019,298.2
9/10/2019,298.13
9/11/2019,300.25
9/12/2019,301.29
9/13/2019,301.09
9/16/2019,300.16
9/17/2019,300.92
9/18/2019,301.1
9/19/2019,301.08
9/20/2019,298.28
9/23/2019,298.21
9/24/2019,295.87
9/25/2019,297.62
9/26/2019,297
9/27/2019,295.4
9/30/2019,296.77
10/1/2019,293.24
10/2/2019,288.06
10/3/2019,290.42
10/4/2019,294.35
10/7/2019,293.08
10/8/2019,288.53
10/9/2019,291.27
10/10/2019,293.24
10/11/2019,296.28
10/14/2019,295.95
10/15/2019,298.88
10/16/2019,298.4
10/17/2019,299.28
10/18/2019,297.97
10/21/2019,299.99
10/22/2019,299.01
10/23/2019,299.88
10/24/2019,300.37
10/25/2019,301.6
10/28/2019,303.3
10/29/2019,303.21
10/30/2019,304.14
10/31/2019,303.33
11/1/2019,306.14
11/4/2019,307.37
11/5/2019,307.03
11/6/2019,307.1
11/7/2019,308.18
11/8/2019,308.94
11/11/2019,308.35
11/12/2019,309
11/13/2019,309.1
11/14/2019,309.55
11/15/2019,311.79
11/18/2019,312.02
11/19/2019,311.93
11/20/2019,310.77
11/21/2019,310.27
11/22/2019,310.96
11/25/2019,313.37
11/26/2019,314.08
11/27/2019,315.48
11/29/2019,314.31
12/2/2019,311.64
12/3/2019,309.55
12/4/2019,311.46
12/5/2019,312.02
12/6/2019,314.87
12/9/2019,313.88
12/10/2019,313.53
12/11/2019,314.42
12/12/2019,317.13
12/13/2019,317.32
12/16/2019,319.5
12/17/2019,319.57
12/18/2019,319.59
12/19/2019,320.9
12/20/2019,320.73
12/23/2019,321.22
12/24/2019,321.23
12/26/2019,322.94
12/27/2019,322.86
12/30/2019,321.08
12/31/2019,321.86
1/2/2020,324.87
1/3/2020,322.41
1/6/2020,323.64
1/7/2020,322.73
1/8/2020,324.45
1/9/2020,326.65
1/10/2020,325.71
1/13/2020,327.95
1/14/2020,327.45
1/15/2020,328.19
1/16/2020,330.92
1/17/2020,331.95
1/21/2020,331.3
1/22/2020,331.34
1/23/2020,331.72
1/24/2020,328.77
1/27/2020,323.5
1/28/2020,326.89
1/29/2020,326.62
1/30/2020,327.68
1/31/2020,321.73
2/3/2020,324.12
2/4/2020,329.06
2/5/2020,332.86
2/6/2020,333.98
2/7/2020,332.2
2/10/2020,334.68
2/11/2020,335.26
2/12/2020,337.42
2/13/2020,337.06
2/14/2020,337.6
2/18/2020,336.73
2/19/2020,338.34
2/20/2020,336.95
2/21/2020,333.48
2/24/2020,322.42
2/25/2020,312.65
2/26/2020,311.5
2/27/2020,297.51
2/28/2020,296.26
3/2/2020,309.09
3/3/2020,300.24
3/4/2020,312.86
3/5/2020,302.46
3/6/2020,297.46
3/9/2020,274.23
3/10/2020,288.42
3/11/2020,274.36
3/12/2020,248.11
3/13/2020,269.32
3/16/2020,239.85
3/17/2020,252.8
3/18/2020,240
3/19/2020,240.51
3/20/2020,228.8
3/23/2020,222.95
3/24/2020,243.15
3/25/2020,246.79
3/26/2020,261.2
3/27/2020,253.42
3/30/2020,261.65
3/31/2020,257.75
4/1/2020,246.15
4/2/2020,251.83
4/3/2020,248.19
4/6/2020,264.86
4/7/2020,265.13
4/8/2020,274.03
4/9/2020,278.2
