Date,Close
4/12/2019,25.96
4/15/2019,25.95
4/16/2019,26.01
4/17/2019,25.99
4/18/2019,26.13
4/22/2019,26.07
4/23/2019,26.16
4/24/2019,26.29
4/25/2019,26.34
4/26/2019,26.31
4/29/2019,26.25
4/30/2019,26.17
5/1/2019,26.2
5/2/2019,26.26
5/3/2019,26.16
5/6/2019,26.18
5/7/2019,26.2
5/8/2019,26.21
5/9/2019,26.16
5/10/2019,26.15
5/13/2019,26.15
5/14/2019,26.21
5/15/2019,26.22
5/16/2019,26.29
5/17/2019,26.35
5/20/2019,26.33
5/21/2019,26.37
5/22/2019,26.39
5/23/2019,26.34
5/24/2019,26.25
5/28/2019,26.36
5/29/2019,26.42
5/30/2019,26.43
5/31/2019,26.32
6/3/2019,26.18
6/4/2019,26.15
6/5/2019,26.24
6/6/2019,26.15
6/7/2019,26.04
6/10/2019,26.07
6/11/2019,26.08
6/12/2019,26.15
6/13/2019,26.17
6/14/2019,26.31
6/17/2019,26.32
6/18/2019,26.36
6/19/2019,26.24
6/20/2019,26.08
6/21/2019,25.95
6/24/2019,25.91
6/25/2019,25.97
6/26/2019,25.99
6/27/2019,25.99
6/28/2019,25.97
7/1/2019,26.16
7/2/2019,26.14
7/3/2019,26.14
7/5/2019,26.28
7/8/2019,26.33
7/9/2019,26.35
7/10/2019,26.24
7/11/2019,26.24
7/12/2019,26.19
7/15/2019,26.23
7/16/2019,26.35
7/17/2019,26.3
7/18/2019,26.16
7/19/2019,26.29
7/22/2019,26.34
7/23/2019,26.46
7/24/2019,26.46
7/25/2019,26.51
7/26/2019,26.55
7/29/2019,26.57
7/30/2019,26.57
7/31/2019,26.73
8/1/2019,26.65
8/2/2019,26.59
8/5/2019,26.46
8/6/2019,26.49
8/7/2019,26.47
8/8/2019,26.49
8/9/2019,26.46
8/12/2019,26.44
8/13/2019,26.56
8/14/2019,26.62
8/15/2019,26.64
8/16/2019,26.66
8/19/2019,26.72
8/20/2019,26.66
8/21/2019,26.69
8/22/2019,26.67
8/23/2019,26.52
8/26/2019,26.66
8/27/2019,26.64
8/28/2019,26.7
8/29/2019,26.77
8/30/2019,26.87
9/3/2019,26.93
9/4/2019,26.76
9/5/2019,26.77
9/6/2019,26.78
9/9/2019,26.73
9/10/2019,26.76
9/11/2019,26.84
9/12/2019,26.76
9/13/2019,26.72
9/16/2019,26.84
9/17/2019,26.72
9/18/2019,26.82
9/19/2019,26.76
9/20/2019,26.83
9/23/2019,26.87
9/24/2019,26.77
9/25/2019,26.98
9/26/2019,27.05
9/27/2019,27.01
9/30/2019,27.1
10/1/2019,27.01
10/2/2019,26.99
10/3/2019,26.98
10/4/2019,26.96
10/7/2019,27.01
10/8/2019,27.05
10/9/2019,27.03
10/10/2019,26.92
10/11/2019,26.82
10/14/2019,26.9
10/15/2019,26.82
10/16/2019,26.75
10/17/2019,26.65
10/18/2019,26.55
10/21/2019,26.57
10/22/2019,26.63
10/23/2019,26.62
10/24/2019,26.7
10/25/2019,26.73
10/28/2019,26.71
10/29/2019,26.7
10/30/2019,26.64
10/31/2019,26.59
11/1/2019,26.58
11/4/2019,26.68
11/5/2019,26.78
11/6/2019,26.78
11/7/2019,26.84
11/8/2019,26.9
11/11/2019,26.86
11/12/2019,26.9
11/13/2019,26.89
11/14/2019,26.87
11/15/2019,26.81
11/18/2019,26.76
11/19/2019,26.79
11/20/2019,26.79
11/21/2019,26.83
11/22/2019,26.91
11/25/2019,26.93
11/26/2019,26.9
11/27/2019,26.94
11/29/2019,26.91
12/2/2019,26.8
12/3/2019,26.77
12/4/2019,26.74
12/5/2019,26.68
12/6/2019,26.78
12/9/2019,26.75
12/10/2019,26.72
12/11/2019,26.62
12/12/2019,26.66
12/13/2019,26.66
12/16/2019,26.61
12/17/2019,26.66
12/18/2019,26.71
12/19/2019,26.71
12/20/2019,26.8
12/23/2019,26.26
12/24/2019,26.26
12/26/2019,26.22
12/27/2019,26.09
12/30/2019,26.04
12/31/2019,25.97
1/2/2020,26.06
1/3/2020,26.09
1/6/2020,26.03
1/7/2020,26.12
1/8/2020,26.19
1/9/2020,26.24
1/10/2020,26.22
1/13/2020,26.22
1/14/2020,26.23
1/15/2020,26.19
1/16/2020,26.23
1/17/2020,26.32
1/21/2020,26.3
1/22/2020,26.28
1/23/2020,26.35
1/24/2020,26.39
1/27/2020,26.43
1/28/2020,26.43
1/29/2020,26.47
1/30/2020,26.39
1/31/2020,26.28
2/3/2020,26.41
2/4/2020,26.45
2/5/2020,26.55
2/6/2020,26.6
2/7/2020,26.66
2/10/2020,26.7
2/11/2020,26.67
2/12/2020,26.74
2/13/2020,26.77
2/14/2020,26.76
2/18/2020,26.86
2/19/2020,26.91
2/20/2020,26.99
2/21/2020,26.83
2/24/2020,26.84
2/25/2020,26.76
2/26/2020,26.78
2/27/2020,26.62
2/28/2020,26.53
3/2/2020,26.39
3/3/2020,26.28
3/4/2020,26.37
3/5/2020,26.17
3/6/2020,26.02
3/9/2020,25.74
3/10/2020,26.12
3/11/2020,26.16
3/12/2020,26.44
3/13/2020,27.44
3/16/2020,26.56
3/17/2020,27.03
3/18/2020,27.44
3/19/2020,28.09
3/20/2020,28.01
3/23/2020,27.97
3/24/2020,27.65
3/25/2020,27.39
3/26/2020,26.95
3/27/2020,26.73
3/30/2020,26.85
3/31/2020,26.83
4/1/2020,27
4/2/2020,27.14
4/3/2020,27.29
4/6/2020,27.3
4/7/2020,27.05
4/8/2020,27.15
4/9/2020,26.95
